,0
349,-682.3314688939257
350,-667.2974825390991
351,-685.7678945843297
352,-700.4823811713729
353,-725.2171804733033
354,-734.2168091027461
355,-752.6130511894872
356,-786.0451086451129
357,-803.7267382636093
358,-814.7479571260698
359,-835.8101346600815
360,-858.1419561192561
361,-864.1027522310011
362,-832.9333500599568
363,-841.7906187660662
364,-854.2595381160469
365,-870.1028237171216
366,-848.3290250042372
367,-861.8457248778524
368,-867.8752276562517
369,-884.9379750559444
370,-894.126304016244
371,-904.4579871912732
372,-909.7951039543175
373,-925.4932709127003
374,-935.1035201099637
375,-915.0908680010152
376,-915.2018856966886
377,-920.937540858186
378,-906.0880628447635
379,-911.4556493600811
380,-913.8483849309234
381,-921.5599936898051
382,-929.7130468354762
383,-946.6419330916195
384,-949.7981170933128
385,-924.174943399741
386,-884.7143890967728
387,-901.987733803599
388,-898.9897208912528
389,-913.4657814628822
390,-919.1042993040521
391,-918.8783140398255
392,-913.7725224343131
393,-902.0812287528316
394,-912.4700565876223
395,-882.5674038468196
396,-866.8279460752719
397,-876.8478188398319
398,-864.0070885715952
399,-856.7994116640733
400,-865.7811571819801
401,-886.2142892740909
402,-889.8382871042647
403,-829.2685115488999
404,-826.0637624668625
405,-832.3200433848183
406,-821.050642782121
407,-802.9086505798196
408,-783.7358124609879
409,-797.524536463782
410,-781.7836549648184
411,-737.9632501069168
412,-713.4626219746344
413,-713.9443447227003
414,-698.2560315735499
415,-659.3508919684969
416,-654.8568323072429
417,-643.6074218398247
418,-640.7864401033671
419,-613.151913402526
420,-592.3805595176557
421,-571.7712880238829
422,-544.979779488986
423,-526.9301880058895
424,-538.0855907848188
425,-523.5737108997635
426,-496.8829857603764
427,-483.6233709711957
428,-448.4954045807059
429,-426.56595622490624
430,-425.93311028916355
431,-425.5676834629222
432,-433.5054226859341
433,-440.1771429205843
434,-432.0229274477756
435,-397.89329197940236
436,-336.97505314390736
437,-306.77094650875046
438,-311.87562972904215
439,-291.9841752205866
440,-279.9387145062264
441,-313.0193900144931
442,-309.5968219609563
443,-286.8084018761591
444,-298.5311740498751
445,-258.53187504159706
446,-210.7200109705224
447,-212.77480648764603
448,-232.0890604041512
449,-192.87240141052135
450,-166.52015443571517
451,-162.2486536089253
452,-156.45266925196157
453,-139.71901707140142
454,-114.23230248407882
455,-108.4380000966456
456,-108.50954346345645
457,-70.99634080019214
458,-66.86758256344578
459,-31.89514335472588
460,-40.09187689360821
461,-28.54698019191695
462,-12.117881746890907
463,-27.58392509119684
464,-8.120046948507165
465,28.374692881571793
466,45.53495271185262
467,79.86928916075573
468,103.89292341411385
469,73.11437415242204
470,71.03201739810564
471,77.34535356880195
472,72.00715742099098
473,85.77574289715525
474,129.9953227469844
475,158.51179017010494
476,162.73934783661772
477,157.51996872696648
478,170.13486860527067
479,178.752301533223
480,168.80311935875622
481,185.97797096222988
482,232.7392358011793
483,248.6703274756258
484,247.92764054148338
485,246.56254523968227
486,237.06217663521872
487,251.90737905437467
488,288.62406657074405
489,256.80425890061946
490,268.89266934558015
491,297.24487266212304
492,298.9002881148208
493,268.4280131838992
494,291.1486190131294
495,316.42456855042775
496,330.1561732213404
497,338.57854404124924
498,318.2016700648958
499,312.9130514179742
500,325.2615539741664
501,323.57496966286755
502,320.8722685833268
503,314.33116801277185
504,329.0968802567484
505,360.83476686673106
506,356.34611095753786
507,346.12557329772875
